rating,default_mob,tenor,eir,prin_amt,lgd,recovery_rate,act_present_val,act_profit,opt_eir,opt_profit,solve_time
4,-1,48,0.335,90,-1.0,1.0,154.79506908221637,64.79506908221637,0.3115,8.052,36.0
4,-1,36,0.325,80,-1.0,1.0,120.57931905068907,40.579319050689065,0.3158,6.8335,37.0
3,-1,36,0.3,65,-1.0,1.0,94.88437803556666,29.884378035566655,0.2942,6.9154,37.0
9,-1,48,0.38,15,-1.0,1.0,27.651927360040993,12.651927360040993,0.4503,0.2827,36.0
9,14,36,0.38,70,1.0,0.0,41.98603538821038,-28.013964611789618,0.4417,0.8123,37.0
4,-1,12,0.325,30,-1.0,1.0,34.96870254953128,4.9687025495312795,0.3128,2.6819,37.0
2,-1,12,0.375,20,-1.0,1.0,23.900992982377574,3.9009929823775735,0.2877,2.3053,38.0
9,-1,48,0.4,30,-1.0,1.0,56.98861691221341,26.98861691221341,0.358,-0.2001,37.0
7,-1,24,0.38,20,-1.0,1.0,27.971556439151456,7.971556439151456,0.4137,0.7692,38.0
5,5,30,0.365,20,-1.0,1.0,21.552760505418945,1.552760505418945,0.3393,1.4547,37.0
3,-1,24,0.35,50,-1.0,1.0,68.07464938693923,18.074649386939228,0.2964,5.2948,36.0
4,10,48,0.24,70,1.0,0.0,20.284752848073705,-49.71524715192629,0.3045,6.9166,36.0
4,-1,24,0.375,20,-1.0,1.0,27.84720896159033,7.847208961590329,0.3091,1.9643,36.0
7,10,24,0.38,30,1.0,0.0,16.029359807151156,-13.970640192848844,0.4149,1.1452,37.0
3,-1,48,0.35,70,-1.0,1.0,123.2470134001294,53.247013400129404,0.2958,7.6434,36.0
6,-1,48,0.38,50,-1.0,1.0,92.17309120013664,42.17309120013664,0.3591,3.1081,38.0
4,-1,30,0.315,60,-1.0,1.0,84.13973436976653,24.13973436976653,0.3237,5.1198,37.0
2,-1,24,0.225,61,-1.0,1.0,73.9776578009826,12.977657800982598,0.2903,6.8251,37.0
4,-1,24,0.4,50,-1.0,1.0,71.17963024410241,21.179630244102412,0.3097,4.8028,37.0
6,-1,24,0.37,15,-1.0,1.0,20.792364936726074,5.792364936726074,0.3672,0.8431,37.0
4,16,48,0.325,50,0.9,0.1,31.295421973999517,-18.704578026000483,0.3145,4.4213,34.0
9,9,36,0.365,20,1.0,0.0,7.291967602872063,-12.708032397127937,0.3876,0.0249,37.0
5,9,36,0.335,30,1.0,0.0,10.535010620705373,-19.46498937929463,0.3459,1.9861,37.0
3,-1,30,0.38,20,-1.0,1.0,30.09448092620261,10.09448092620261,0.2988,2.1431,37.0
5,-1,24,0.4,30,-1.0,1.0,42.707778146461465,12.707778146461465,0.3341,2.2672,36.0
6,24,24,0.31,41,-1.0,1.0,53.77290400448469,12.772904004484687,0.3701,2.2968,37.0
5,-1,24,0.365,50,-1.0,1.0,68.99847472396105,18.998474723961053,0.3312,3.8277,37.0
7,12,24,0.385,30,1.0,0.0,19.62986720166908,-10.370132798330921,0.4098,1.1662,37.0
7,-1,12,0.38,20,-1.0,1.0,23.96026851586461,3.960268515864609,0.4075,0.7683,38.0
5,-1,48,0.41,19,-1.0,1.0,36.631664981551275,17.631664981551275,0.3423,1.3725,36.0
6,-1,24,0.465,20,-1.0,1.0,30.12951531672357,10.12951531672357,0.3711,1.1075,38.0
6,12,36,0.345,50,1.0,0.0,24.357545920267018,-25.642454079732982,0.356,3.2346,37.0
6,-1,24,0.365,35,-1.0,1.0,48.29893230677274,13.298932306772741,0.3745,1.8156,37.0
6,-1,48,0.385,51,-1.0,1.0,94.72893769107826,43.72893769107826,0.3603,2.9965,35.0
5,19,24,0.38,20,1.0,0.0,21.135017505555794,1.135017505555794,0.3337,1.563,37.0
7,-1,24,0.38,30,-1.0,1.0,41.95733465872719,11.957334658727191,0.408,1.216,37.0
4,12,48,0.375,80,1.0,0.0,35.1073884346653,-44.8926115653347,0.3178,7.1386,37.0
3,-1,24,0.6,40,-1.0,1.0,67.44425986606203,27.444259866062026,0.2993,4.0997,36.0
6,-1,42,0.335,50,-1.0,1.0,81.10126633547392,31.101266335473923,0.3657,2.8018,37.0
6,-1,24,0.4,15,-1.0,1.0,21.353889073230732,6.353889073230732,0.2502,0.4811,37.0
8,-1,12,0.365,20,-1.0,1.0,23.782672096925634,3.7826720969256336,0.4631,0.4056,38.0
3,19,48,0.33,30,1.0,0.0,19.920202108030878,-10.079797891969122,0.2982,3.1129,37.0
5,-1,24,0.325,20,-1.0,1.0,26.619877014381153,6.619877014381153,0.3363,1.4499,37.0
5,-1,36,0.36,40,-1.0,1.0,63.001222804540745,23.001222804540745,0.3389,2.8915,37.0
2,-1,12,0.42,20,-1.0,1.0,24.437225149143885,4.4372251491438846,0.2876,2.3022,36.0
6,-1,48,0.38,50,-1.0,1.0,92.17309120013664,42.17309120013664,0.3783,2.562,37.0
5,-1,48,0.4,47,-1.0,1.0,89.282166495801,42.28216649580099,0.3059,3.7329,36.0
5,-1,24,0.36,20,-1.0,1.0,27.475919467815665,7.475919467815665,0.3259,1.6648,37.0
5,-1,24,0.38,30,-1.0,1.0,41.95733465872719,11.957334658727191,0.3285,2.3865,37.0
6,-1,36,0.29,70,-1.0,1.0,100.8692604526129,30.869260452612906,0.3502,4.5293,36.0
4,-1,12,0.38,20,-1.0,1.0,23.96026851586461,3.960268515864609,0.3195,1.7452,37.0
3,-1,12,0.195,25,-1.0,1.0,27.273390983019418,2.273390983019418,0.3009,2.5189,37.0
5,-1,48,0.37,80,-1.0,1.0,145.25357378225306,65.25357378225306,0.3394,5.8599,37.0
7,-1,48,0.38,60,-1.0,1.0,110.60770944016397,50.60770944016397,0.4073,2.4564,37.0
1,-1,12,0.345,20,-1.0,1.0,23.546953106777565,3.546953106777565,0.2771,2.5685,36.0
5,-1,12,0.35,20,-1.0,1.0,23.605767324241185,3.605767324241185,0.3309,1.5881,37.0
5,-1,24,0.35,20,-1.0,1.0,27.22985975477569,7.229859754775688,0.3575,1.1909,37.0
3,-1,24,0.385,31,-1.0,1.0,43.54910238867386,12.549102388673859,0.2985,3.1566,36.0
7,-1,24,0.43,33,-1.0,1.0,48.23106111970741,15.231061119707412,0.3861,1.4149,37.0
3,-1,36,0.305,50,-1.0,1.0,73.45963295496031,23.459632954960313,0.307,4.7479,37.0
5,-1,24,0.38,30,-1.0,1.0,41.95733465872719,11.957334658727191,0.3538,1.9083,37.0
7,16,24,0.37,50,1.0,0.0,43.80289059313405,-6.197109406865948,0.3241,1.2332,37.0
4,-1,12,0.4,20,-1.0,1.0,24.198136192850683,4.198136192850683,0.303,2.0101,37.0
8,-1,12,0.38,20,-1.0,1.0,23.96026851586461,3.960268515864609,0.4361,0.6316,37.0
