rating,interest_rate,probability
7,0.26,0.0011
7,0.265,0.0071
7,0.27,0.002
7,0.275,0.0098
7,0.28,0.004
7,0.285,0.0006
7,0.29,0.0061
7,0.295,0.0032
7,0.3,0.007
7,0.305,0.0065
7,0.31,0.0091
7,0.315,0.0045
7,0.32,0.003
7,0.325,0.0242
7,0.33,0.0084
7,0.335,0.0301
7,0.34,0.0194
7,0.345,0.0111
7,0.35,0.0193
7,0.355,0.0229
7,0.36,0.0184
7,0.365,0.0439
7,0.37,0.0515
7,0.375,0.0293
7,0.38,0.3488
7,0.385,0.0154
7,0.39,0.0229
7,0.395,0.0179
7,0.4,0.1727
7,0.405,0.004
7,0.41,0.0059
7,0.415,0.0057
7,0.42,0.0051
7,0.425,0.0028
7,0.43,0.0028
7,0.435,0.0079
7,0.44,0.0033
7,0.445,0.0084
7,0.45,0.0017
7,0.455,0.0072
7,0.46,0.001
7,0.465,0.0067
7,0.47,0.0007
7,0.475,0.0043
7,0.48,0.0003
7,0.485,0.0029
7,0.49,0.0019
8,0.205,0.0001
8,0.21,0.0001
8,0.215,0.0002
8,0.22,0.0001
8,0.225,0.0002
8,0.23,0.0006
8,0.235,0.0001
8,0.24,0.0009
8,0.245,0.0006
8,0.25,0.0003
8,0.255,0.001
8,0.26,0.0008
8,0.265,0.0049
8,0.27,0.0011
8,0.275,0.0052
8,0.28,0.0035
8,0.285,0.0003
8,0.29,0.0047
8,0.295,0.0031
8,0.3,0.0047
8,0.305,0.0036
8,0.31,0.0046
8,0.315,0.003
8,0.32,0.0015
8,0.325,0.0225
8,0.33,0.0053
8,0.335,0.0263
8,0.34,0.0159
8,0.345,0.0067
8,0.35,0.0164
8,0.355,0.0192
8,0.36,0.0156
8,0.365,0.0358
8,0.37,0.0514
8,0.375,0.0242
8,0.38,0.3994
8,0.385,0.0121
8,0.39,0.0241
8,0.395,0.0175
8,0.4,0.2015
8,0.405,0.0033
8,0.41,0.0051
8,0.415,0.004
8,0.42,0.0039
8,0.425,0.0021
8,0.43,0.0036
8,0.435,0.0057
8,0.44,0.0022
8,0.445,0.0072
8,0.45,0.0018
8,0.455,0.006
8,0.46,0.0008
8,0.465,0.0062
8,0.47,0.0005
8,0.475,0.0038
8,0.48,0.0009
8,0.485,0.0028
8,0.49,0.0011
9,0.25,0.0002
9,0.255,0.0004
9,0.26,0.0001
9,0.265,0.0003
9,0.27,0.0015
9,0.275,0.0003
9,0.28,0.0028
9,0.285,0.0015
9,0.29,0.0021
9,0.295,0.0013
9,0.3,0.0017
9,0.305,0.0013
9,0.31,0.0014
9,0.315,0.0025
9,0.32,0.0016
9,0.325,0.0167
9,0.33,0.0044
9,0.335,0.0199
9,0.34,0.0101
9,0.345,0.0051
9,0.35,0.0133
9,0.355,0.0161
9,0.36,0.0115
9,0.365,0.0312
9,0.37,0.0426
9,0.375,0.0174
9,0.38,0.4616
9,0.385,0.0093
9,0.39,0.0229
9,0.395,0.0157
9,0.4,0.231
9,0.405,0.0026
9,0.41,0.0044
9,0.415,0.0027
9,0.42,0.0033
9,0.425,0.0018
9,0.43,0.0038
9,0.435,0.004
9,0.44,0.0025
9,0.445,0.0048
9,0.45,0.0013
9,0.455,0.0066
9,0.46,0.0008
9,0.465,0.0057
9,0.47,0.0007
9,0.475,0.003
9,0.48,0.0002
9,0.485,0.0035
9,0.49,0.0006
10,0.305,0.0003
10,0.31,0.0003
10,0.315,0.0003
10,0.32,0.0003
10,0.325,0.0003
10,0.33,0.0008
10,0.335,0.0003
10,0.34,0.0066
10,0.345,0.0025
10,0.35,0.003
10,0.355,0.0044
10,0.36,0.0005
10,0.365,0.0014
10,0.37,0.0068
10,0.375,0.0057
10,0.38,0.018
10,0.385,0.052
10,0.39,0.0115
10,0.395,0.5089
10,0.4,0.0079
10,0.405,0.0194
10,0.41,0.009
10,0.415,0.306
10,0.42,0.0005
10,0.425,0.0027
10,0.43,0.0016
10,0.435,0.0022
10,0.44,0.0005
10,0.445,0.0049
10,0.45,0.0008
10,0.455,0.0036
10,0.46,0.0022
10,0.465,0.0005
10,0.47,0.0052
10,0.475,0.0003
10,0.48,0.0022
10,0.485,0.0044
10,0.49,0.0022
