index,rating,default_mob,tenor,eir,prin_amt,lgd,recovery_rate,act_present_val,act_profit,opt_eir,opt_obj,solve_time
84,4,-1,24,0.38,20,-1.0,1.0,27.12623742888339,7.126237428883389,0.3331,1.5295,60.0
85,3,-1,24,0.315,25,-1.0,1.0,31.976003447041368,6.976003447041368,0.3148,2.1937,61.0
86,4,-1,48,0.335,90,-1.0,1.0,145.89229029290996,55.89229029290996,0.3346,6.7457,60.0
87,4,-1,36,0.325,80,-1.0,1.0,115.26525751420051,35.26525751420051,0.3317,6.2314,60.0
88,3,-1,36,0.3,65,-1.0,1.0,90.7027204536352,25.702720453635195,0.316,5.7924,60.0
89,9,-1,48,0.38,15,-1.0,1.0,26.06157313335912,11.061573133359119,0.4113,-0.0078,60.0
90,9,14,36,0.38,70,1.0,0.0,41.265752778429814,-28.734247221570186,0.3654,-1.1896,60.0
91,4,-1,12,0.325,30,-1.0,1.0,34.41096336614456,4.410963366144557,0.3354,2.182,60.0
92,2,-1,12,0.375,20,-1.0,1.0,23.519780088097576,3.5197800880975763,0.3078,1.923,60.0
93,9,-1,48,0.4,30,-1.0,1.0,53.71101218690727,23.71101218690727,0.4003,-0.0828,60.0
94,7,-1,24,0.38,20,-1.0,1.0,27.12623742888339,7.126237428883389,0.4106,0.5213,61.0
95,5,5,30,0.365,20,-1.0,1.0,20.790962992766133,0.7909629927661328,0.3585,1.2215,60.0
96,3,-1,24,0.35,50,-1.0,1.0,66.01738827709377,16.017388277093772,0.3114,4.6069,60.0
97,4,10,48,0.24,70,1.0,0.0,20.0349518727202,-49.9650481272798,0.3287,5.4468,61.0
98,4,-1,24,0.375,20,-1.0,1.0,27.00564781466783,7.005647814667832,0.325,1.6311,60.0
99,7,10,24,0.38,30,1.0,0.0,15.831962789592776,-14.168037210407224,0.4446,0.8657,60.0
100,3,-1,48,0.35,70,-1.0,1.0,116.15866812369646,46.15866812369646,0.313,6.2553,61.0
101,6,-1,48,0.38,50,-1.0,1.0,86.8719104445304,36.8719104445304,0.3988,2.1268,60.0
102,4,-1,30,0.315,60,-1.0,1.0,81.00993281809082,21.009932818090817,0.3297,4.7211,60.0
103,2,-1,24,0.225,61,-1.0,1.0,71.74200385693723,10.742003856937231,0.3029,6.054,60.0
104,4,-1,24,0.4,50,-1.0,1.0,69.02853455087266,19.028534550872664,0.3298,3.9539,59.0
105,6,-1,24,0.37,15,-1.0,1.0,20.16400586104573,5.16400586104573,0.3672,0.838,60.0
106,4,16,48,0.325,50,0.9,0.1,30.472696738663817,-19.527303261336183,0.3277,3.9787,60.0
107,9,9,36,0.365,20,1.0,0.0,7.211048547165868,-12.788951452834132,0.4063,0.0719,59.0
108,5,9,36,0.335,30,1.0,0.0,10.41810347606221,-19.58189652393779,0.352,1.9559,62.0
109,3,-1,30,0.38,20,-1.0,1.0,28.975036542342647,8.975036542342647,0.3119,1.7922,59.0
110,5,-1,24,0.4,30,-1.0,1.0,41.4171207305236,11.4171207305236,0.3535,1.8934,59.0
111,6,24,24,0.31,41,-1.0,1.0,52.14937682700619,11.149376827006193,0.3878,1.9387,61.0
112,5,-1,24,0.365,50,-1.0,1.0,66.91329499895915,16.913294998959145,0.3569,3.1336,60.0
113,7,12,24,0.385,30,1.0,0.0,19.340502617264235,-10.659497382735765,0.444,0.9019,59.0
114,7,-1,12,0.38,20,-1.0,1.0,23.578110196526445,3.5781101965264455,0.3084,0.1824,60.0
115,5,-1,48,0.41,19,-1.0,1.0,34.524856205610746,15.524856205610746,0.3493,1.2677,60.0
116,6,-1,24,0.465,20,-1.0,1.0,29.218981356169955,9.218981356169955,0.3956,0.8806,60.0
117,6,12,36,0.345,50,1.0,0.0,23.998490452396062,-26.001509547603938,0.3856,2.4022,60.0
118,6,-1,24,0.365,35,-1.0,1.0,46.8393064992714,11.839306499271402,0.383,1.7193,60.0
119,6,-1,48,0.385,51,-1.0,1.0,89.28076171099113,38.28076171099113,0.3897,2.3611,61.0
120,5,19,24,0.38,20,1.0,0.0,20.645984341755963,0.6459843417559625,0.3481,1.3093,60.0
121,7,-1,24,0.38,30,-1.0,1.0,40.689356143325085,10.689356143325085,0.4404,0.8899,60.0
122,4,12,48,0.375,80,1.0,0.0,34.58986914838748,-45.41013085161252,0.3374,5.716,59.0
123,3,-1,24,0.6,40,-1.0,1.0,65.40604954615137,25.406049546151365,0.3178,3.4217,60.0
124,6,-1,42,0.335,50,-1.0,1.0,76.97787783019781,26.977877830197812,0.388,2.4142,61.0
125,6,-1,24,0.4,15,-1.0,1.0,20.7085603652618,5.7085603652618,0.3935,0.6811,61.0
126,8,-1,12,0.365,20,-1.0,1.0,23.403346381443185,3.4033463814431855,0.4662,0.3701,61.0
127,3,19,48,0.33,30,1.0,0.0,19.45927798256651,-10.540722017433492,0.3143,2.6105,61.0
128,5,-1,24,0.325,20,-1.0,1.0,25.81540665392033,5.815406653920331,0.3512,1.3093,61.0
129,5,-1,36,0.36,40,-1.0,1.0,60.2246904978969,20.2246904978969,0.3553,2.4145,61.0
130,2,-1,12,0.42,20,-1.0,1.0,24.047459530027318,4.047459530027318,0.3061,1.9123,59.0
131,6,-1,48,0.38,50,-1.0,1.0,86.8719104445304,36.8719104445304,0.3948,2.2339,60.0
